날짜,요일,방문객수,매출,평균기온
"3월 23일, 2024",  토 ,175,"828,178",9.8
"3월 24일, 2024",  일 ,154,"727,358",9.6
"3월 25일, 2024",월,115,"549,071원",7.6
2024-03-26,화,120,"580,361",6.8
2024-03-27,수,130,"644,651원",7.3
2024-03-28,목,142,"703,020",9.2
"3월 29일, 2024",금,130,"633,621",7.7
"3월 30일, 2024",토,190,"921,132",11.5
"3월 31일, 2024",일,135,"652,369원",11.5
2024-04-01,월,109,"525,657원",3.8
2024-04-02,화,138,"673,553",13.3
"4월 3일, 2024",수,128,"607,150",9.6
2024-04-04,목,156,"735,466원",9.7
2024/04/05,  금 ,141,"709,032",7.5
2024/04/06,토,162,"765,356",13.0
2024/04/07,일,151,"773,659",8.2
2024/04/08,월,122,"606,161원",7.2
2024/04/09,화,141,"711,177",7.8
2024/04/10,  수 ,164,"799,948원",8.9
"4월 11일, 2024",목,144,"699,962원",10.7
2024-04-12,금,172,"830,744",8.1
2024-04-13,토,178,"894,652원",14.3
2024/04/14,일,152,"771,052",12.3
2024/04/15,월,127,"659,824원",11.2
2024-04-16,화,116,"599,366",9.8
2024/04/17,  수 ,163,"793,309원",10.2
2024/04/18,  목 ,167,"806,537원",16.8
2024/04/19,  금 ,161,"802,708",16.8
2024-04-20,토,202,"979,391",13.8
"4월 21일, 2024",일,144,"696,243",
2024-04-22,월,127,"633,900",13.7
2024-04-23,화,146,"714,758원",14.0
"4월 24일, 2024",수,143,"700,995원",15.6
2024-04-25,  목 ,159,"782,781원",17.5
2024/04/26,금,199,"1,006,068",17.9
2024-04-27,토,168,"811,397원",15.1
2024/04/28,  일 ,184,"920,452원",14.7
"4월 29일, 2024",월,146,"697,565",13.7
"4월 30일, 2024",화,134,"649,286원",21.3
"5월 1일, 2024",수,128,"633,407",15.0
2024-05-02,목,137,"648,276",14.2
2024/05/03,금,185,"890,106",13.6
2024/05/04,  토 ,225,"1,122,129원",17.0
"5월 5일, 2024",일,209,"1,043,944원",16.2
2024/05/06,  월 ,166,"800,694",14.8
2024/05/07,화,139,"707,090원",20.1
"5월 8일, 2024",수,154,"758,464",15.8
"5월 9일, 2024",  목 ,166,"872,787원",16.8
2024/05/10,금,196,"998,317원",16.7
"5월 11일, 2024",토,208,"1,067,097원",19.9
"5월 12일, 2024",일,175,"841,261",20.8
2024/05/13,월,156,"831,306원",23.6
2024/05/14,화,160,"787,641원",18.7
2024/05/15,수,166,"814,740원",14.8
2024-05-16,목,152,"745,462원",20.8
2024/05/17,금,201,"977,496",17.4
"5월 18일, 2024",토,150,"753,052",19.5
2024/05/19,일,179,"924,354원",21.0
2024/05/20,  월 ,148,"727,706원",18.2
2024/05/21,화,166,"808,877원",23.3
2024/05/22,수,166,"857,265원",22.8
2024-05-23,목,162,"795,865",22.5
"5월 24일, 2024",금,195,"973,105원",19.7
2024-05-25,토,199,"1,048,852",19.1
"5월 26일, 2024",일,171,"876,308",20.9
2024-05-27,월,133,"663,107",25.0
2024/05/28,화,149,"731,223",22.2
"5월 29일, 2024",수,166,"820,462",22.7
2024/05/30,목,169,"846,066원",21.7
2024-05-31,금,222,"1,199,149원",22.8
"6월 1일, 2024",토,200,"1,037,547원",24.7
2024/06/02,일,168,"845,248",22.4
2024-06-03,  월 ,154,"811,590",21.9
"6월 4일, 2024",화,161,"792,738원",23.4
"6월 5일, 2024",  수 ,127,"618,273",23.6
"6월 6일, 2024",목,206,"1,062,360원",27.0
"6월 7일, 2024",금,192,"984,077",25.1
2024/06/08,  토 ,217,"1,063,145",20.7
2024/06/09,  일 ,169,"870,752",23.8
2024/06/10,  월 ,163,"858,343원",23.2
2024/06/11,화,141,"684,548원",23.6
"6월 12일, 2024",수,134,"690,751원",28.9
2024-06-13,목,154,"765,887",25.6
"6월 14일, 2024",금,220,"1,088,261",24.8
2024-06-15,  토 ,232,"1,190,849원",25.3
"6월 16일, 2024",일,171,"851,117",22.4
2024-06-17,  월 ,142,"713,944",22.0
"6월 18일, 2024",화,151,"763,092",22.7
"6월 19일, 2024",수,148,"740,198",22.7
2024/06/20,  목 ,204,"1,035,154원",30.3
"6월 21일, 2024",금,159,"833,082",24.1
"6월 22일, 2024",토,242,"1,235,398원",25.2
"6월 23일, 2024",일,183,"890,437원",27.2
"6월 24일, 2024",월,147,"771,872원",27.2
"6월 25일, 2024",  화 ,167,"870,831원",28.2
"6월 26일, 2024",수,164,"863,528원",23.8
"6월 27일, 2024",목,180,"904,165",28.7
2024/06/28,금,243,"1,198,409원",26.9
2024-03-20,수,99,"481,987",8.5
"4월 21일, 2024",일,144,"696,243",
2024-01-28,  일 ,127,"632,300",2.1
2024-04-04,목,156,"735,466원",9.7
