date,weekday,visitors,sales,avg_temp,rain_mm,is_holiday
2024-04-25,목,159,782781,17.5,0.0,False
2024-04-26,금,199,1006068,17.9,0.0,False
2024-04-27,토,168,811397,15.1,11.7,False
2024-04-28,일,184,920452,14.7,0.0,False
2024-04-29,월,146,697565,13.7,0.0,False
2024-04-30,화,134,649286,21.3,0.0,False
2024-05-01,수,128,633407,15.0,0.0,False
2024-05-02,목,137,648276,14.2,8.1,False
2024-05-03,금,185,890106,13.6,0.0,False
2024-05-04,토,225,1122129,17.0,0.0,False
2024-05-05,일,209,1043944,16.2,0.0,True
2024-05-06,월,166,800694,14.8,0.0,True
2024-05-07,화,139,707090,20.1,0.0,False
2024-05-08,수,154,758464,15.8,0.0,False
2024-05-09,목,166,872787,16.8,0.0,False
2024-05-10,금,196,998317,16.7,0.0,False
2024-05-11,토,208,1067097,19.9,0.0,False
2024-05-12,일,175,841261,20.8,6.4,False
2024-05-13,월,156,831306,23.6,1.1,False
2024-05-14,화,160,787641,18.7,0.0,False
2024-05-15,수,166,814740,14.8,0.0,True
2024-05-16,목,152,745462,20.8,0.0,False
2024-05-17,금,201,977496,17.4,0.0,False
2024-05-18,토,150,753052,19.5,16.7,False
2024-05-19,일,179,924354,21.0,0.8,False
2024-05-20,월,148,727706,18.2,0.0,False
2024-05-21,화,166,808877,23.3,0.0,False
2024-05-22,수,166,857265,22.8,0.0,False
2024-05-23,목,162,795865,22.5,0.0,False
2024-05-24,금,195,973105,19.7,0.0,False
2024-05-25,토,199,1048852,19.1,0.0,False
2024-05-26,일,171,876308,20.9,0.0,False
2024-05-27,월,133,663107,25.0,0.0,False
2024-05-28,화,149,731223,22.2,0.0,False
2024-05-29,수,166,820462,22.7,0.0,False
2024-05-30,목,169,846066,21.7,0.0,False
2024-05-31,금,222,1199149,22.8,0.0,False
2024-06-01,토,200,1037547,24.7,0.0,False
2024-06-02,일,168,845248,22.4,0.0,False
2024-06-03,월,154,811590,21.9,0.0,False
2024-06-04,화,161,792738,23.4,0.0,False
2024-06-05,수,127,618273,23.6,14.1,False
2024-06-06,목,206,1062360,27.0,3.5,True
2024-06-07,금,192,984077,25.1,2.5,False
2024-06-08,토,217,1063145,20.7,0.0,False
2024-06-09,일,169,870752,23.8,0.0,False
2024-06-10,월,163,858343,23.2,0.0,False
2024-06-11,화,141,684548,23.6,2.0,False
2024-06-12,수,134,690751,28.9,17.0,False
2024-06-13,목,154,765887,25.6,0.0,False
2024-06-14,금,220,1088261,24.8,0.0,False
2024-06-15,토,232,1190849,25.3,0.0,False
2024-06-16,일,171,851117,22.4,12.4,False
2024-06-17,월,142,713944,22.0,0.0,False
2024-06-18,화,151,763092,22.7,6.4,False
2024-06-19,수,148,740198,22.7,7.5,False
2024-06-20,목,204,1035154,30.3,0.0,False
2024-06-21,금,159,833082,24.1,17.7,False
2024-06-22,토,242,1235398,25.2,11.0,False
2024-06-23,일,183,890437,27.2,0.0,False
2024-06-24,월,147,771872,27.2,8.5,False
2024-06-25,화,167,870831,28.2,0.0,False
2024-06-26,수,164,863528,23.8,0.0,False
2024-06-27,목,180,904165,28.7,0.0,False
2024-06-28,금,243,1198409,26.9,0.0,False
2024-06-29,토,210,1021483,24.5,0.0,False
2024-06-30,일,186,946074,25.6,0.0,False
2024-07-01,월,124,625227,24.2,46.7,False
2024-07-02,화,152,769200,23.5,19.0,False
2024-07-03,수,151,753764,22.8,7.0,False
2024-07-04,목,188,961524,24.7,0.0,False
2024-07-05,금,235,1192273,27.8,0.5,False
2024-07-06,토,276,1354697,25.8,1.1,False
2024-07-07,일,189,973129,24.9,0.0,False
2024-07-08,월,158,803138,22.2,0.0,False
2024-07-09,화,170,843929,24.8,0.0,False
2024-07-10,수,175,885410,26.6,0.0,False
2024-07-11,목,174,936166,26.3,0.0,False
2024-07-12,금,223,1148268,23.1,0.0,False
2024-07-13,토,205,1035195,25.8,5.6,False
2024-07-14,일,196,1001785,22.0,0.0,False
2024-07-15,월,0,0,28.9,8.5,False
2024-07-16,화,0,0,25.8,0.0,False
2024-07-17,수,179,911329,23.4,0.0,False
2024-07-18,목,164,878360,26.0,31.6,False
2024-07-19,금,235,1163166,27.3,0.0,False
2024-07-20,토,209,1080864,27.4,14.3,False
2024-07-21,일,165,851486,26.7,9.5,False
2024-07-22,월,135,670275,23.1,75.7,False
2024-07-23,화,149,777553,23.0,0.0,False
2024-07-24,수,171,857739,25.3,0.0,False
2024-07-25,목,180,902393,27.8,0.0,False
2024-07-26,금,241,1178935,25.8,0.0,False
2024-07-27,토,260,1310527,25.2,0.0,False
2024-07-28,일,149,770624,27.6,17.6,False
2024-07-29,월,143,725232,23.5,1.3,False
2024-07-30,화,131,683012,27.0,27.8,False
2024-07-31,수,169,856682,29.7,7.5,False
2024-08-01,목,191,989427,25.5,0.0,False
2024-08-02,금,230,1195753,26.4,0.0,False
2024-08-03,토,253,1275686,26.9,0.0,False
2024-08-04,일,190,993351,26.7,0.0,False
2024-08-05,월,153,772109,23.8,0.0,False
2024-08-06,화,141,723435,22.6,17.0,False
2024-08-07,수,185,915765,29.2,0.0,False
2024-08-08,목,147,746826,25.3,3.0,False
2024-08-09,금,209,1080349,23.9,0.0,False
2024-08-10,토,249,1237035,20.4,0.0,False
2024-08-11,일,188,968734,20.6,0.0,False
2024-08-12,월,154,773683,22.0,0.0,False
2024-08-13,화,138,677466,22.0,10.8,False
2024-08-14,수,191,943151,22.9,0.0,False
2024-08-15,목,203,1034165,26.9,7.4,True
2024-08-16,금,210,1026025,22.6,0.0,False
2024-08-17,토,252,1273714,24.7,0.0,False
2024-08-18,일,208,1072310,19.9,0.0,False
2024-08-19,월,151,761958,25.5,4.8,False
2024-08-20,화,162,796581,18.9,0.0,False
2024-08-21,수,192,983644,24.8,0.0,False
2024-08-22,목,199,999282,27.4,10.3,False
2024-08-23,금,154,786062,22.2,21.0,False
2024-08-24,토,226,1118989,23.5,0.0,False
2024-08-25,일,169,829904,25.5,7.1,False
2024-08-26,월,175,884102,18.0,0.0,False
2024-08-27,화,163,823937,19.8,0.0,False
2024-08-28,수,130,655084,20.5,20.9,False
2024-08-29,목,160,779371,22.6,21.6,False
2024-08-30,금,164,823796,19.5,7.3,False
2024-08-31,토,245,1237386,28.8,0.0,False
2024-09-01,일,194,980862,25.3,0.0,False
2024-09-02,월,160,795883,19.9,0.0,False
2024-09-03,화,147,708922,23.3,0.0,False
2024-09-04,수,167,794732,23.6,0.0,False
2024-09-05,목,165,826951,22.8,7.1,False
2024-09-06,금,177,875372,20.3,1.5,False
2024-09-07,토,248,1235262,21.7,0.0,False
2024-09-08,일,198,953721,27.7,0.0,False
2024-09-09,월,141,694984,19.2,0.0,False
2024-09-10,화,161,813454,19.5,0.0,False
2024-09-11,수,166,794190,20.9,0.0,False
2024-09-12,목,184,932167,19.5,0.0,False
2024-09-13,금,191,888510,13.5,0.0,False
2024-09-14,토,235,1235455,24.0,0.0,False
2024-09-15,일,180,881777,19.6,0.0,False
2024-09-16,월,187,928792,20.3,0.0,True
2024-09-17,화,175,865087,18.1,0.0,True
2024-09-18,수,175,873369,18.5,0.0,True
2024-09-19,목,169,802303,17.8,0.0,False
2024-09-20,금,190,960370,21.3,0.0,False
2024-09-21,토,200,978908,14.2,0.0,False
2024-09-22,일,168,812854,19.1,0.0,False
2024-09-23,월,167,835894,16.1,0.0,False
2024-09-24,화,171,847452,18.0,0.0,False
2024-09-25,수,159,806992,21.3,8.4,False
2024-09-26,목,191,933079,15.8,0.0,False
2024-09-27,금,188,922941,15.2,9.5,False
2024-09-28,토,232,1098552,13.7,0.0,False
2024-09-29,일,188,908765,17.3,0.0,False
2024-09-30,월,152,737971,15.2,0.0,False
2024-10-01,화,181,889878,17.0,0.0,False
2024-10-02,수,151,741684,18.2,0.0,False
2024-10-03,목,191,931663,12.8,0.0,True
2024-10-04,금,212,1093565,14.0,0.0,False
2024-10-05,토,170,829223,19.2,23.0,False
2024-10-06,일,208,1053568,13.0,0.0,False
2024-10-07,월,125,592830,20.8,38.6,False
2024-10-08,화,151,739591,17.5,0.0,False
2024-10-09,수,162,763550,13.5,0.0,True
2024-10-10,목,160,793152,12.7,0.0,False
2024-10-11,금,200,1045064,16.9,2.2,False
2024-10-12,토,260,1298708,13.1,0.0,False
2024-10-13,일,150,709438,14.2,0.0,False
2024-10-14,월,137,685042,11.2,0.0,False
2024-10-15,화,137,642212,13.1,0.3,False
2024-10-16,수,157,752987,9.6,0.0,False
2024-10-17,목,119,582865,10.1,18.4,False
2024-10-18,금,197,985101,14.6,0.0,False
2024-10-19,토,198,935676,10.8,0.0,False
2024-10-20,일,163,809772,7.8,0.0,False
2024-10-21,월,133,645783,7.0,1.8,False
2024-10-22,화,151,736890,6.5,0.0,False
2024-10-23,수,154,751081,9.1,0.0,False
2024-10-24,목,163,811972,7.9,0.0,False
2024-10-25,금,210,1012860,11.7,0.0,False
2024-10-26,토,212,997503,12.6,0.0,False
2024-10-27,일,165,827124,9.3,3.8,False
2024-10-28,월,140,685248,6.5,0.0,False
2024-10-29,화,139,692911,11.5,0.0,False
2024-10-30,수,159,781545,8.6,1.5,False
2024-10-31,목,167,824243,7.9,0.0,False
2024-11-01,금,193,913742,9.2,0.0,False
2024-11-02,토,222,,9.7,0.0,False
2024-11-03,일,162,786896,3.5,0.0,False
2024-11-04,월,148,745548,12.3,0.0,False
2024-11-05,화,163,799694,4.9,0.0,False
2024-11-06,수,159,750847,8.3,0.0,False
2024-11-07,목,111,542499,8.3,19.5,False
2024-11-08,금,194,956614,5.2,0.0,False
2024-11-09,토,223,1069354,11.7,0.0,False
2024-11-10,일,140,694534,9.3,0.0,False
2024-11-11,월,128,616969,10.9,0.0,False
2024-11-12,화,139,676649,8.8,0.0,False
2024-11-13,수,134,643148,4.2,0.0,False
2024-11-14,목,133,637259,3.6,0.0,False
2024-11-15,금,138,681111,5.8,52.8,False
2024-11-16,토,207,1011959,1.0,0.0,False
2024-11-17,일,163,800719,6.3,0.0,False
2024-11-18,월,136,664249,2.1,0.0,False
2024-11-19,화,103,524906,-2.4,42.1,False
2024-11-20,수,114,568327,1.9,12.6,False
2024-11-21,목,170,797346,6.0,0.0,False
2024-11-22,금,174,850577,5.1,0.0,False
2024-11-23,토,209,1010569,,0.0,False
2024-11-24,일,154,737848,2.4,0.0,False
2024-11-25,월,106,515383,4.5,37.0,False
2024-11-26,화,109,515794,0.8,0.0,False
2024-11-27,수,154,766266,4.2,0.0,False
2024-11-28,목,148,716578,0.6,0.0,False
2024-11-29,금,159,800042,1.5,0.0,False
2024-11-30,토,204,1036439,3.3,0.0,False
2024-12-01,일,168,812662,-0.5,0.0,False
2024-12-02,월,109,528493,4.0,4.2,False
2024-12-03,화,134,635832,9.1,0.0,False
2024-12-04,수,135,655384,2.9,0.0,False
2024-12-05,목,148,758474,4.8,8.0,False
2024-12-06,금,174,844724,0.3,0.0,False
2024-12-07,토,186,920935,-0.7,0.7,False
2024-12-08,일,166,820472,3.2,0.0,False
2024-12-09,월,126,622674,-3.3,0.0,False
2024-12-10,화,123,598529,-3.1,0.0,False
2024-12-11,수,176,872646,5.1,0.0,False
2024-12-12,목,154,743345,2.1,0.0,False
2024-12-13,금,175,867592,4.1,5.0,False
2024-12-14,토,146,679586,1.2,13.0,False
2024-12-15,일,157,784646,1.3,0.0,False
2024-12-16,월,132,665556,-0.6,0.0,False
2024-12-17,화,133,659424,1.6,0.0,False
2024-12-18,수,120,595902,0.8,0.0,False
2024-12-19,목,139,666685,-1.1,0.0,False
2024-12-20,금,179,860927,3.0,0.0,False
2024-12-21,토,197,972992,-1.0,0.0,False
2024-12-22,일,159,780551,-0.5,0.0,False
2024-12-23,월,122,576746,0.6,0.0,False
2024-12-24,화,132,666396,-3.9,0.0,False
2024-12-25,수,182,886400,3.5,0.0,True
2024-12-26,목,140,661098,2.5,0.0,False
2024-12-27,금,171,825849,-2.5,0.0,False
2024-12-28,토,190,900303,0.8,0.0,False
2024-12-29,일,142,667377,-2.2,2.9,False
2024-12-30,월,116,587602,3.8,0.0,False
2024-12-31,화,124,605813,-1.3,0.0,False
2025-01-01,수,166,816701,1.9,0.0,True
2025-01-02,목,162,820782,1.1,0.0,False
2025-01-03,금,156,783613,-4.7,0.0,False
2025-01-04,토,185,909451,-3.6,0.0,False
2025-01-05,일,153,755678,1.8,0.0,False
2025-01-06,월,96,473672,0.3,17.2,False
2025-01-07,화,127,640120,2.7,0.3,False
2025-01-08,수,117,574103,-1.5,0.0,False
2025-01-09,목,133,661190,-1.2,0.0,False
2025-01-10,금,154,740583,-0.2,5.2,False
2025-01-11,토,180,855153,-3.0,0.0,False
2025-01-12,일,145,701962,-0.0,0.0,False
2025-01-13,월,126,629466,1.4,0.0,False
2025-01-14,화,130,616543,-4.0,0.0,False
2025-01-15,수,128,632604,-2.8,0.0,False
2025-01-16,목,137,696372,1.6,0.0,False
2025-01-17,금,145,675645,-1.4,0.0,False
2025-01-18,토,158,762267,3.9,23.9,False
2025-01-19,일,149,704552,3.4,2.0,False
2025-01-20,월,137,649154,-1.0,0.0,False
2025-01-21,화,145,723606,0.1,0.0,False
2025-01-22,수,148,724387,0.4,0.0,False
2025-01-23,목,156,745574,2.0,0.0,False
2025-01-24,금,155,759799,-7.3,0.0,False
2025-01-25,토,182,933348,-0.3,0.0,False
2025-01-26,일,144,728125,-3.6,0.0,False
2025-01-27,월,108,545969,-5.5,0.0,False
2025-01-28,화,132,624154,0.2,0.0,True
2025-01-29,수,154,768872,-2.8,7.2,True
2025-01-30,목,150,747679,-1.1,0.0,True
2025-01-31,금,173,873515,-2.3,0.0,False
2025-02-01,토,184,901106,4.0,0.0,False
2025-02-02,일,139,682696,-5.0,0.0,False
2025-02-03,월,142,690082,3.3,0.0,False
2025-02-04,화,137,665513,0.7,0.0,False
2025-02-05,수,130,664817,2.6,0.0,False
2025-02-06,목,113,569511,3.0,14.9,False
2025-02-07,금,166,803155,-3.9,0.0,False
2025-02-08,토,189,921028,-0.3,0.0,False
2025-02-09,일,159,797451,0.2,0.0,False
2025-02-10,월,120,565459,2.9,0.0,False
2025-02-11,화,151,745086,-1.6,0.0,False
2025-02-12,수,131,626975,1.7,2.3,False
2025-02-13,목,169,865044,3.7,3.1,False
2025-02-14,금,162,814465,2.7,0.0,False
2025-02-15,토,203,976770,1.9,0.0,False
2025-02-16,일,154,748801,3.0,0.0,False
2025-02-17,월,102,498941,-0.2,16.3,False
2025-02-18,화,113,578342,3.4,28.0,False
2025-02-19,수,114,570845,0.7,0.0,False
2025-02-20,목,153,734442,-0.7,0.0,False
2025-02-21,금,154,,2.0,0.0,False
2025-02-22,토,194,980117,2.2,0.0,False
2025-02-23,일,177,856577,4.2,0.0,False
2025-02-24,월,129,626204,0.8,0.0,False
2025-02-25,화,137,674937,1.7,0.0,False
2025-02-26,수,147,730918,2.7,0.0,False
2025-02-27,목,169,854664,2.9,0.5,False
2025-02-28,금,163,815177,5.1,14.4,False
2025-03-01,토,256,1335943,3.6,0.0,True
2025-03-02,일,164,815649,3.2,0.0,False
2025-03-03,월,160,778536,1.7,0.0,True
2025-03-04,화,144,709208,9.2,0.0,False
2025-03-05,수,122,586139,6.6,14.4,False
2025-03-06,목,181,877475,6.1,0.0,False
2025-03-07,금,195,954874,-0.7,0.0,False
2025-03-08,토,177,893666,5.6,0.0,False
2025-03-09,일,174,871993,4.9,0.0,False
2025-03-10,월,151,730406,4.6,0.0,False
2025-03-11,화,126,623062,3.2,4.8,False
2025-03-12,수,145,703810,,0.0,False
2025-03-13,목,126,598006,2.8,28.3,False
2025-03-14,금,192,933754,8.3,0.0,False
2025-03-15,토,233,1142365,,0.0,False
2025-03-16,일,170,822749,8.6,0.0,False
2025-03-17,월,134,651608,3.4,0.0,False
2025-03-18,화,133,662742,2.7,0.0,False
2025-03-19,수,162,781128,6.3,0.0,False
2025-03-20,목,168,843300,6.5,0.0,False
2025-03-21,금,190,942605,5.0,0.0,False
2025-03-22,토,252,1196332,6.3,0.0,False
2025-03-23,일,186,918693,6.7,0.0,False
2025-03-24,월,121,613374,3.6,10.8,False
2025-03-25,화,148,729467,11.0,7.0,False
2025-03-26,수,140,675678,,0.0,False
2025-03-27,목,156,772963,12.0,0.0,False
2025-03-28,금,184,878288,7.0,0.0,False
2025-03-29,토,182,872870,5.0,0.0,False
2025-03-30,일,176,851819,4.7,0.0,False
2025-03-31,월,145,703047,10.4,0.0,False
2025-04-01,화,155,766773,14.2,0.0,False
2025-04-02,수,162,802991,10.2,0.0,False
2025-04-03,목,168,809718,9.7,0.0,False
2025-04-04,금,222,1052421,12.8,2.3,False
2025-04-05,토,243,1153843,14.2,2.5,False
2025-04-06,일,192,902411,10.9,0.0,False
2025-04-07,월,140,676169,5.3,0.0,False
2025-04-08,화,155,743067,13.6,0.0,False
2025-04-09,수,155,782796,7.7,1.8,False
2025-04-10,목,189,930661,12.6,0.0,False
2025-04-11,금,193,930222,7.9,0.0,False
2025-04-12,토,235,1166580,14.8,0.0,False
2025-04-13,일,154,774009,14.6,17.4,False
2025-04-14,월,147,703509,13.6,1.9,False
2025-04-15,화,126,632279,8.1,13.2,False
2025-04-16,수,167,801498,12.9,0.0,False
2025-04-17,목,189,942632,13.0,0.1,False
2025-04-18,금,197,992709,9.9,0.0,False
2025-04-19,토,754,3775305,12.0,0.0,False
2025-04-20,일,169,846458,11.6,0.0,False
2025-04-21,월,149,720116,17.7,0.0,False
2025-04-22,화,147,726521,13.5,0.0,False
2025-04-23,수,169,797123,14.9,4.2,False
2025-04-24,목,195,999953,18.2,0.0,False
2025-04-25,금,216,1077446,15.2,0.0,False
2025-04-26,토,208,1016116,14.9,0.0,False
2025-04-27,일,194,954931,14.7,0.0,False
2025-04-28,월,151,763789,16.1,0.0,False
2025-04-29,화,171,805568,15.6,0.0,False
2025-04-30,수,185,943832,17.1,0.0,False
2025-05-01,목,193,964008,16.7,0.0,False
2025-05-02,금,213,1027047,13.5,3.9,False
2025-05-03,토,267,1324407,14.1,0.0,False
2025-05-04,일,164,815943,21.2,2.8,False
2025-05-05,월,198,1000695,17.1,0.0,True
2025-05-06,화,231,1151913,19.3,0.0,True
2025-05-07,수,168,854470,17.9,5.8,False
2025-05-08,목,195,928433,16.3,0.0,False
2025-05-09,금,194,973975,23.0,15.1,False
2025-05-10,토,214,1046514,21.3,19.5,False
2025-05-11,일,208,1021597,13.0,0.0,False
2025-05-12,월,155,757086,20.3,13.7,False
2025-05-13,화,183,893687,19.7,0.0,False
2025-05-14,수,171,816632,19.5,0.0,False
2025-05-15,목,194,992371,16.9,0.0,False
2025-05-16,금,271,1300895,18.5,0.0,False
2025-05-17,토,274,1378749,20.2,0.0,False
2025-05-18,일,197,986929,18.6,13.0,False
2025-05-19,월,159,772270,11.9,0.0,False
2025-05-20,화,174,848004,15.9,0.0,False
2025-05-21,수,188,904631,22.8,0.0,False
2025-05-22,목,193,955373,21.6,0.0,False
2025-05-23,금,243,1190115,18.6,0.0,False
2025-05-24,토,277,1379430,21.4,0.0,False
2025-05-25,일,214,1072328,22.8,0.0,False
2025-05-26,월,133,678312,23.4,27.3,False
2025-05-27,화,194,990532,25.1,0.0,False
2025-05-28,수,215,1041759,19.5,0.0,False
2025-05-29,목,221,1123068,,0.0,False
2025-05-30,금,219,1136817,23.4,0.0,False
2025-05-31,토,239,1218882,26.1,8.4,False
2025-06-01,일,222,1149458,25.1,0.0,False
2025-06-02,월,190,1012390,26.0,0.0,False
2025-06-03,화,226,1177339,25.2,0.0,False
2025-06-04,수,203,1037241,22.2,0.0,False
2025-06-05,목,202,999398,21.8,3.8,False
2025-06-06,금,309,1522452,22.3,0.0,True
2025-06-07,토,280,1403805,21.1,0.0,False
2025-06-08,일,228,1138822,25.9,0.0,False
2025-06-09,월,137,692236,20.5,36.8,False
2025-06-10,화,219,1064554,22.5,0.0,False
2025-06-11,수,164,788601,24.7,6.7,False
2025-06-12,목,191,964947,24.7,0.0,False
2025-06-13,금,284,1422475,22.4,0.0,False
2025-06-14,토,285,1455677,23.9,0.0,False
2025-06-15,일,212,1038869,,0.0,False
2025-06-16,월,166,848026,28.0,3.1,False
2025-06-17,화,185,947451,22.8,0.0,False
2025-06-18,수,181,913369,23.5,0.0,False
2025-06-19,목,231,1179581,27.0,0.0,False
2025-06-20,금,281,1458481,30.2,0.0,False
2025-06-21,토,261,1306741,22.4,6.9,False
2025-06-22,일,211,1075650,24.8,0.0,False
2025-06-23,월,165,845621,29.5,14.0,False
2025-06-24,화,161,834798,26.7,8.5,False
2025-06-25,수,181,901847,22.9,3.9,False
2025-06-26,목,217,1071738,23.0,0.0,False
2025-06-27,금,266,1377202,27.8,0.0,False
2025-06-28,토,320,1634736,24.6,0.0,False
2025-06-29,일,256,1290180,26.9,0.0,False
2025-06-30,월,198,1025167,28.0,4.3,False
2025-07-01,화,180,940433,27.6,0.0,False
2025-07-02,수,211,1091472,24.5,0.0,False
2025-07-03,목,208,1023022,25.0,0.0,False
2025-07-04,금,231,1178174,23.6,0.0,False
2025-07-05,토,302,1575696,25.0,0.5,False
2025-07-06,일,258,1294522,26.1,0.0,False
2025-07-07,월,177,887068,23.6,0.0,False
2025-07-08,화,185,908912,20.0,6.4,False
2025-07-09,수,232,1182675,27.7,0.0,False
2025-07-10,목,200,1015666,28.0,0.0,False
2025-07-11,금,238,1235808,23.6,0.0,False
2025-07-12,토,288,1435300,24.4,0.0,False
2025-07-13,일,235,1215971,27.7,0.0,False
2025-07-14,월,205,1099749,23.2,0.0,False
2025-07-15,화,224,1157337,30.7,0.0,False
2025-07-16,수,240,1227433,26.3,0.0,False
2025-07-17,목,235,1192593,28.8,6.9,False
2025-07-18,금,250,1317369,28.9,5.0,False
2025-07-19,토,286,1528967,28.8,0.0,False
2025-07-20,일,264,1371610,27.9,0.0,False
2025-07-21,월,203,1028337,25.8,0.0,False
2025-07-22,화,196,1005327,28.5,1.2,False
2025-07-23,수,168,873120,26.6,50.7,False
2025-07-24,목,175,902981,29.1,19.8,False
2025-07-25,금,298,1491748,19.6,0.0,False
2025-07-26,토,281,1404275,26.2,0.0,False
2025-07-27,일,220,1113311,24.9,5.3,False
