date,menu,category,orders,amount
2024-01-18,녹차라떼,라떼/기타,8,44000
2024-01-18,초코라떼,라떼/기타,4,22000
2024-01-18,에스프레소,커피,3,10500
2024-01-18,디카페인 아메리카노,커피,3,15000
2024-01-19,아메리카노,커피,47,211500
2024-01-19,카페라떼,라떼/기타,21,105000
2024-01-19,바닐라라떼,라떼/기타,6,33000
2024-01-19,콜드브루,커피,14,77000
2024-01-19,카푸치노,라떼/기타,9,45000
2024-01-19,녹차라떼,라떼/기타,4,22000
2024-01-19,초코라떼,라떼/기타,5,27500
2024-01-19,에스프레소,커피,5,17500
2024-01-19,디카페인 아메리카노,커피,3,15000
2024-01-20,아메리카노,커피,52,234000
2024-01-20,카페라떼,라떼/기타,31,155000
2024-01-20,바닐라라떼,라떼/기타,20,110000
2024-01-20,콜드브루,커피,15,82500
2024-01-20,카푸치노,라떼/기타,9,45000
2024-01-20,녹차라떼,라떼/기타,9,49500
2024-01-20,초코라떼,라떼/기타,9,49500
2024-01-20,에스프레소,커피,6,21000
2024-01-20,디카페인 아메리카노,커피,2,10000
2024-01-21,아메리카노,커피,50,225000
2024-01-21,카페라떼,라떼/기타,18,90000
2024-01-21,바닐라라떼,라떼/기타,15,82500
2024-01-21,콜드브루,커피,13,71500
2024-01-21,카푸치노,라떼/기타,10,50000
2024-01-21,녹차라떼,라떼/기타,8,44000
2024-01-21,초코라떼,라떼/기타,8,44000
2024-01-21,에스프레소,커피,8,28000
2024-01-21,디카페인 아메리카노,커피,5,25000
2024-01-22,아메리카노,커피,34,153000
2024-01-22,카페라떼,라떼/기타,25,125000
2024-01-22,바닐라라떼,라떼/기타,13,71500
2024-01-22,콜드브루,커피,10,55000
2024-01-22,카푸치노,라떼/기타,9,45000
2024-01-22,녹차라떼,라떼/기타,7,38500
2024-01-22,초코라떼,라떼/기타,3,16500
2024-01-22,에스프레소,커피,3,10500
2024-01-22,디카페인 아메리카노,커피,2,10000
2024-01-23,아메리카노,커피,35,157500
2024-01-23,카페라떼,라떼/기타,11,55000
2024-01-23,바닐라라떼,라떼/기타,11,60500
2024-01-23,콜드브루,커피,12,66000
2024-01-23,카푸치노,라떼/기타,7,35000
2024-01-23,녹차라떼,라떼/기타,7,38500
2024-01-23,초코라떼,라떼/기타,7,38500
2024-01-23,에스프레소,커피,4,14000
2024-01-23,디카페인 아메리카노,커피,3,15000
2024-01-24,아메리카노,커피,44,198000
2024-01-24,카페라떼,라떼/기타,22,110000
2024-01-24,바닐라라떼,라떼/기타,15,82500
2024-01-24,콜드브루,커피,12,66000
2024-01-24,카푸치노,라떼/기타,11,55000
2024-01-24,녹차라떼,라떼/기타,1,5500
2024-01-24,초코라떼,라떼/기타,5,27500
2024-01-24,에스프레소,커피,5,17500
2024-01-24,디카페인 아메리카노,커피,2,10000
2024-01-25,아메리카노,커피,26,117000
2024-01-25,카페라떼,라떼/기타,19,95000
2024-01-25,바닐라라떼,라떼/기타,16,88000
2024-01-25,콜드브루,커피,12,66000
2024-01-25,카푸치노,라떼/기타,7,35000
2024-01-25,녹차라떼,라떼/기타,7,38500
2024-01-25,초코라떼,라떼/기타,4,22000
2024-01-25,에스프레소,커피,4,14000
2024-01-25,디카페인 아메리카노,커피,3,15000
2024-01-26,아메리카노,커피,64,288000
2024-01-26,카페라떼,라떼/기타,34,170000
2024-01-26,바닐라라떼,라떼/기타,20,110000
2024-01-26,콜드브루,커피,15,82500
2024-01-26,카푸치노,라떼/기타,9,45000
2024-01-26,녹차라떼,라떼/기타,8,44000
2024-01-26,초코라떼,라떼/기타,6,33000
2024-01-26,에스프레소,커피,4,14000
2024-01-26,디카페인 아메리카노,커피,4,20000
2024-01-27,아메리카노,커피,34,153000
2024-01-27,카페라떼,라떼/기타,22,110000
2024-01-27,바닐라라떼,라떼/기타,10,55000
2024-01-27,콜드브루,커피,14,77000
2024-01-27,카푸치노,라떼/기타,8,40000
2024-01-27,녹차라떼,라떼/기타,5,27500
2024-01-27,초코라떼,라떼/기타,4,22000
2024-01-27,에스프레소,커피,4,14000
2024-01-27,디카페인 아메리카노,커피,4,20000
2024-01-28,아메리카노,커피,43,193500
2024-01-28,카페라떼,라떼/기타,30,150000
2024-01-28,바닐라라떼,라떼/기타,11,60500
2024-01-28,콜드브루,커피,8,44000
2024-01-28,카푸치노,라떼/기타,8,40000
2024-01-28,녹차라떼,라떼/기타,7,38500
2024-01-28,초코라떼,라떼/기타,4,22000
2024-01-28,에스프레소,커피,5,17500
2024-01-28,디카페인 아메리카노,커피,4,20000
2024-01-29,아메리카노,커피,42,189000
2024-01-29,카페라떼,라떼/기타,17,85000
2024-01-29,바닐라라떼,라떼/기타,9,49500
2024-01-29,콜드브루,커피,7,38500
2024-01-29,카푸치노,라떼/기타,7,35000
2024-01-29,녹차라떼,라떼/기타,5,27500
2024-01-29,초코라떼,라떼/기타,2,11000
2024-01-29,에스프레소,커피,3,10500
2024-01-29,디카페인 아메리카노,커피,3,15000
2024-01-30,아메리카노,커피,32,144000
2024-01-30,카페라떼,라떼/기타,18,90000
2024-01-30,바닐라라떼,라떼/기타,14,77000
2024-01-30,콜드브루,커피,11,60500
2024-01-30,카푸치노,라떼/기타,5,25000
2024-01-30,녹차라떼,라떼/기타,8,44000
2024-01-30,초코라떼,라떼/기타,5,27500
2024-01-30,에스프레소,커피,4,14000
2024-01-30,디카페인 아메리카노,커피,3,15000
2024-01-31,아메리카노,커피,42,189000
2024-01-31,카페라떼,라떼/기타,15,75000
2024-01-31,바닐라라떼,라떼/기타,12,66000
2024-01-31,콜드브루,커피,13,71500
2024-01-31,카푸치노,라떼/기타,7,35000
2024-01-31,녹차라떼,라떼/기타,3,16500
2024-01-31,초코라떼,라떼/기타,6,33000
2024-01-31,에스프레소,커피,5,17500
2024-01-31,디카페인 아메리카노,커피,2,10000
2024-02-01,아메리카노,커피,38,171000
2024-02-01,카페라떼,라떼/기타,17,85000
2024-02-01,바닐라라떼,라떼/기타,14,77000
2024-02-01,콜드브루,커피,12,66000
2024-02-01,카푸치노,라떼/기타,9,45000
2024-02-01,녹차라떼,라떼/기타,5,27500
2024-02-01,초코라떼,라떼/기타,4,22000
2024-02-01,에스프레소,커피,4,14000
2024-02-01,디카페인 아메리카노,커피,4,20000
2024-02-02,아메리카노,커피,48,216000
2024-02-02,카페라떼,라떼/기타,31,155000
2024-02-02,바닐라라떼,라떼/기타,23,126500
2024-02-02,콜드브루,커피,16,88000
2024-02-02,카푸치노,라떼/기타,13,65000
2024-02-02,녹차라떼,라떼/기타,5,27500
2024-02-02,초코라떼,라떼/기타,6,33000
2024-02-02,에스프레소,커피,7,24500
2024-02-02,디카페인 아메리카노,커피,5,25000
2024-02-03,아메리카노,커피,64,288000
2024-02-03,카페라떼,라떼/기타,36,180000
2024-02-03,바닐라라떼,라떼/기타,18,99000
2024-02-03,콜드브루,커피,15,82500
2024-02-03,카푸치노,라떼/기타,10,50000
2024-02-03,녹차라떼,라떼/기타,12,66000
2024-02-03,초코라떼,라떼/기타,8,44000
2024-02-03,에스프레소,커피,6,21000
2024-02-03,디카페인 아메리카노,커피,5,25000
2024-02-04,아메리카노,커피,40,180000
2024-02-04,카페라떼,라떼/기타,27,135000
2024-02-04,바닐라라떼,라떼/기타,11,60500
2024-02-04,콜드브루,커피,10,55000
2024-02-04,카푸치노,라떼/기타,9,45000
2024-02-04,녹차라떼,라떼/기타,4,22000
2024-02-04,초코라떼,라떼/기타,4,22000
2024-02-04,에스프레소,커피,6,21000
2024-02-04,디카페인 아메리카노,커피,3,15000
2024-02-05,아메리카노,커피,41,184500
2024-02-05,카페라떼,라떼/기타,24,120000
2024-02-05,바닐라라떼,라떼/기타,12,66000
2024-02-05,콜드브루,커피,9,49500
2024-02-05,카푸치노,라떼/기타,7,35000
2024-02-05,녹차라떼,라떼/기타,5,27500
2024-02-05,초코라떼,라떼/기타,5,27500
2024-02-05,에스프레소,커피,4,14000
2024-02-05,디카페인 아메리카노,커피,1,5000
2024-02-06,아메리카노,커피,29,130500
2024-02-06,카페라떼,라떼/기타,18,90000
2024-02-06,바닐라라떼,라떼/기타,10,55000
2024-02-06,콜드브루,커피,9,49500
2024-02-06,카푸치노,라떼/기타,6,30000
2024-02-06,녹차라떼,라떼/기타,4,22000
2024-02-06,초코라떼,라떼/기타,3,16500
2024-02-06,에스프레소,커피,2,7000
2024-02-06,디카페인 아메리카노,커피,2,10000
2024-02-07,아메리카노,커피,35,157500
2024-02-07,카페라떼,라떼/기타,19,95000
2024-02-07,바닐라라떼,라떼/기타,11,60500
2024-02-07,콜드브루,커피,13,71500
2024-02-07,카푸치노,라떼/기타,7,35000
2024-02-07,녹차라떼,라떼/기타,6,33000
2024-02-07,초코라떼,라떼/기타,4,22000
2024-02-07,에스프레소,커피,3,10500
2024-02-07,디카페인 아메리카노,커피,3,15000
2024-02-08,아메리카노,커피,28,126000
2024-02-08,카페라떼,라떼/기타,20,100000
2024-02-08,바닐라라떼,라떼/기타,17,93500
2024-02-08,콜드브루,커피,9,49500
2024-02-08,카푸치노,라떼/기타,9,45000
2024-02-08,녹차라떼,라떼/기타,4,22000
2024-02-08,초코라떼,라떼/기타,6,33000
2024-02-08,에스프레소,커피,5,17500
2024-02-08,디카페인 아메리카노,커피,2,10000
2024-02-09,아메리카노,커피,68,306000
2024-02-09,카페라떼,라떼/기타,47,235000
2024-02-09,바닐라라떼,라떼/기타,14,77000
2024-02-09,콜드브루,커피,16,88000
2024-02-09,카푸치노,라떼/기타,16,80000
2024-02-09,녹차라떼,라떼/기타,8,44000
2024-02-09,초코라떼,라떼/기타,8,44000
2024-02-09,에스프레소,커피,8,28000
2024-02-09,디카페인 아메리카노,커피,5,25000
2024-02-10,아메리카노,커피,62,279000
2024-02-10,카페라떼,라떼/기타,42,210000
2024-02-10,바닐라라떼,라떼/기타,28,154000
2024-02-10,콜드브루,커피,21,115500
2024-02-10,카푸치노,라떼/기타,14,70000
2024-02-10,녹차라떼,라떼/기타,13,71500
2024-02-10,초코라떼,라떼/기타,8,44000
2024-02-10,에스프레소,커피,9,31500
2024-02-10,디카페인 아메리카노,커피,5,25000
2024-02-11,아메리카노,커피,49,220500
2024-02-11,카페라떼,라떼/기타,29,145000
2024-02-11,바닐라라떼,라떼/기타,9,49500
2024-02-11,콜드브루,커피,13,71500
2024-02-11,카푸치노,라떼/기타,10,50000
2024-02-11,녹차라떼,라떼/기타,5,27500
2024-02-11,초코라떼,라떼/기타,7,38500
2024-02-11,에스프레소,커피,5,17500
2024-02-11,디카페인 아메리카노,커피,4,20000
2024-02-12,아메리카노,커피,45,202500
2024-02-12,카페라떼,라떼/기타,26,130000
2024-02-12,바닐라라떼,라떼/기타,17,93500
2024-02-12,콜드브루,커피,13,71500
2024-02-12,카푸치노,라떼/기타,9,45000
2024-02-12,녹차라떼,라떼/기타,8,44000
2024-02-12,초코라떼,라떼/기타,7,38500
2024-02-12,에스프레소,커피,3,10500
2024-02-12,디카페인 아메리카노,커피,3,15000
2024-02-13,아메리카노,커피,43,193500
2024-02-13,카페라떼,라떼/기타,17,85000
2024-02-13,바닐라라떼,라떼/기타,13,71500
2024-02-13,콜드브루,커피,11,60500
2024-02-13,카푸치노,라떼/기타,8,40000
2024-02-13,녹차라떼,라떼/기타,4,22000
2024-02-13,초코라떼,라떼/기타,4,22000
2024-02-13,에스프레소,커피,4,14000
2024-02-13,디카페인 아메리카노,커피,3,15000
2024-02-14,아메리카노,커피,41,184500
2024-02-14,카페라떼,라떼/기타,29,145000
2024-02-14,바닐라라떼,라떼/기타,12,66000
2024-02-14,콜드브루,커피,12,66000
2024-02-14,카푸치노,라떼/기타,6,30000
2024-02-14,녹차라떼,라떼/기타,9,49500
2024-02-14,초코라떼,라떼/기타,6,33000
2024-02-14,에스프레소,커피,6,21000
2024-02-14,디카페인 아메리카노,커피,2,10000
2024-02-15,아메리카노,커피,37,166500
2024-02-15,카페라떼,라떼/기타,18,90000
2024-02-15,바닐라라떼,라떼/기타,12,66000
2024-02-15,콜드브루,커피,9,49500
2024-02-15,카푸치노,라떼/기타,6,30000
2024-02-15,녹차라떼,라떼/기타,6,33000
2024-02-15,초코라떼,라떼/기타,6,33000
2024-02-15,에스프레소,커피,4,14000
2024-02-15,디카페인 아메리카노,커피,3,15000
2024-02-16,아메리카노,커피,43,193500
2024-02-16,카페라떼,라떼/기타,18,90000
2024-02-16,바닐라라떼,라떼/기타,12,66000
2024-02-16,콜드브루,커피,16,88000
2024-02-16,카푸치노,라떼/기타,9,45000
2024-02-16,녹차라떼,라떼/기타,6,33000
2024-02-16,초코라떼,라떼/기타,7,38500
2024-02-16,에스프레소,커피,4,14000
2024-02-16,디카페인 아메리카노,커피,4,20000
2024-02-17,아메리카노,커피,61,274500
2024-02-17,카페라떼,라떼/기타,45,225000
2024-02-17,바닐라라떼,라떼/기타,22,121000
2024-02-17,콜드브루,커피,19,104500
2024-02-17,카푸치노,라떼/기타,16,80000
2024-02-17,녹차라떼,라떼/기타,10,55000
2024-02-17,초코라떼,라떼/기타,9,49500
2024-02-17,에스프레소,커피,8,28000
2024-02-17,디카페인 아메리카노,커피,4,20000
2024-02-18,아메리카노,커피,50,225000
2024-02-18,카페라떼,라떼/기타,20,100000
2024-02-18,바닐라라떼,라떼/기타,14,77000
2024-02-18,콜드브루,커피,16,88000
2024-02-18,카푸치노,라떼/기타,9,45000
2024-02-18,녹차라떼,라떼/기타,8,44000
2024-02-18,초코라떼,라떼/기타,4,22000
2024-02-18,에스프레소,커피,5,17500
2024-02-18,디카페인 아메리카노,커피,3,15000
2024-02-19,아메리카노,커피,31,139500
2024-02-19,카페라떼,라떼/기타,14,70000
2024-02-19,바닐라라떼,라떼/기타,10,55000
2024-02-19,콜드브루,커피,9,49500
2024-02-19,카푸치노,라떼/기타,10,50000
2024-02-19,녹차라떼,라떼/기타,7,38500
2024-02-19,초코라떼,라떼/기타,5,27500
2024-02-19,에스프레소,커피,4,14000
2024-02-19,디카페인 아메리카노,커피,3,15000
2024-02-20,아메리카노,커피,34,153000
2024-02-20,카페라떼,라떼/기타,24,120000
2024-02-20,바닐라라떼,라떼/기타,12,66000
2024-02-20,콜드브루,커피,10,55000
2024-02-20,카푸치노,라떼/기타,11,55000
2024-02-20,녹차라떼,라떼/기타,9,49500
2024-02-20,초코라떼,라떼/기타,3,16500
2024-02-20,에스프레소,커피,5,17500
2024-02-20,디카페인 아메리카노,커피,3,15000
2024-02-21,아메리카노,커피,39,175500
2024-02-21,카페라떼,라떼/기타,24,120000
2024-02-21,바닐라라떼,라떼/기타,9,49500
2024-02-21,콜드브루,커피,8,44000
2024-02-21,카푸치노,라떼/기타,10,50000
2024-02-21,녹차라떼,라떼/기타,7,38500
2024-02-21,초코라떼,라떼/기타,5,27500
2024-02-21,에스프레소,커피,4,14000
2024-02-21,디카페인 아메리카노,커피,3,15000
2024-02-22,아메리카노,커피,45,202500
2024-02-22,카페라떼,라떼/기타,38,190000
2024-02-22,바닐라라떼,라떼/기타,17,93500
2024-02-22,콜드브루,커피,13,71500
2024-02-22,카푸치노,라떼/기타,14,70000
2024-02-22,녹차라떼,라떼/기타,10,55000
2024-02-22,초코라떼,라떼/기타,8,44000
2024-02-22,에스프레소,커피,6,21000
2024-02-22,디카페인 아메리카노,커피,5,25000
2024-02-23,아메리카노,커피,54,243000
2024-02-23,카페라떼,라떼/기타,25,125000
2024-02-23,바닐라라떼,라떼/기타,11,60500
2024-02-23,콜드브루,커피,12,66000
2024-02-23,카푸치노,라떼/기타,5,25000
2024-02-23,녹차라떼,라떼/기타,7,38500
2024-02-23,초코라떼,라떼/기타,8,44000
2024-02-23,에스프레소,커피,5,17500
2024-02-23,디카페인 아메리카노,커피,3,15000
2024-02-24,아메리카노,커피,61,274500
2024-02-24,카페라떼,라떼/기타,37,185000
2024-02-24,바닐라라떼,라떼/기타,13,71500
2024-02-24,콜드브루,커피,19,104500
2024-02-24,카푸치노,라떼/기타,13,65000
2024-02-24,녹차라떼,라떼/기타,7,38500
2024-02-24,초코라떼,라떼/기타,6,33000
2024-02-24,에스프레소,커피,3,10500
2024-02-24,디카페인 아메리카노,커피,4,20000
2024-02-25,아메리카노,커피,47,211500
2024-02-25,카페라떼,라떼/기타,24,120000
2024-02-25,바닐라라떼,라떼/기타,13,71500
2024-02-25,콜드브루,커피,9,49500
2024-02-25,카푸치노,라떼/기타,9,45000
2024-02-25,녹차라떼,라떼/기타,7,38500
2024-02-25,초코라떼,라떼/기타,7,38500
2024-02-25,에스프레소,커피,5,17500
2024-02-25,디카페인 아메리카노,커피,2,10000
2024-02-26,아메리카노,커피,46,207000
2024-02-26,카페라떼,라떼/기타,22,110000
2024-02-26,바닐라라떼,라떼/기타,9,49500
2024-02-26,콜드브루,커피,10,55000
2024-02-26,카푸치노,라떼/기타,8,40000
2024-02-26,녹차라떼,라떼/기타,10,55000
2024-02-26,초코라떼,라떼/기타,6,33000
2024-02-26,에스프레소,커피,3,10500
2024-02-26,디카페인 아메리카노,커피,3,15000
2024-02-27,아메리카노,커피,60,270000
2024-02-27,카페라떼,라떼/기타,20,100000
2024-02-27,바닐라라떼,라떼/기타,8,44000
2024-02-27,콜드브루,커피,8,44000
2024-02-27,카푸치노,라떼/기타,5,25000
2024-02-27,녹차라떼,라떼/기타,9,49500
2024-02-27,초코라떼,라떼/기타,5,27500
2024-02-27,에스프레소,커피,3,10500
2024-02-27,디카페인 아메리카노,커피,3,15000
2024-02-28,아메리카노,커피,33,148500
2024-02-28,카페라떼,라떼/기타,18,90000
2024-02-28,바닐라라떼,라떼/기타,8,44000
2024-02-28,콜드브루,커피,11,60500
2024-02-28,카푸치노,라떼/기타,6,30000
2024-02-28,녹차라떼,라떼/기타,7,38500
2024-02-28,초코라떼,라떼/기타,6,33000
2024-02-28,에스프레소,커피,3,10500
2024-02-28,디카페인 아메리카노,커피,3,15000
2024-02-29,아메리카노,커피,19,85500
2024-02-29,카페라떼,라떼/기타,36,180000
2024-02-29,바닐라라떼,라떼/기타,15,82500
2024-02-29,콜드브루,커피,16,88000
2024-02-29,카푸치노,라떼/기타,9,45000
2024-02-29,녹차라떼,라떼/기타,5,27500
2024-02-29,초코라떼,라떼/기타,7,38500
2024-02-29,에스프레소,커피,4,14000
2024-02-29,디카페인 아메리카노,커피,3,15000
2024-03-01,아메리카노,커피,79,355500
2024-03-01,카페라떼,라떼/기타,38,190000
2024-03-01,바닐라라떼,라떼/기타,16,88000
2024-03-01,콜드브루,커피,16,88000
2024-03-01,카푸치노,라떼/기타,17,85000
2024-03-01,녹차라떼,라떼/기타,14,77000
2024-03-01,초코라떼,라떼/기타,8,44000
2024-03-01,에스프레소,커피,5,17500
2024-03-01,디카페인 아메리카노,커피,7,35000
2024-03-02,아메리카노,커피,68,306000
2024-03-02,카페라떼,라떼/기타,43,215000
2024-03-02,바닐라라떼,라떼/기타,21,115500
2024-03-02,콜드브루,커피,22,121000
2024-03-02,카푸치노,라떼/기타,7,35000
2024-03-02,녹차라떼,라떼/기타,7,38500
2024-03-02,초코라떼,라떼/기타,10,55000
2024-03-02,에스프레소,커피,9,31500
2024-03-02,디카페인 아메리카노,커피,8,40000
2024-03-03,아메리카노,커피,38,171000
2024-03-03,카페라떼,라떼/기타,27,135000
2024-03-03,바닐라라떼,라떼/기타,19,104500
2024-03-03,콜드브루,커피,16,88000
2024-03-03,카푸치노,라떼/기타,9,45000
2024-03-03,녹차라떼,라떼/기타,8,44000
2024-03-03,초코라떼,라떼/기타,7,38500
2024-03-03,에스프레소,커피,4,14000
2024-03-03,디카페인 아메리카노,커피,4,20000
2024-03-04,아메리카노,커피,35,157500
2024-03-04,카페라떼,라떼/기타,20,100000
2024-03-04,바닐라라떼,라떼/기타,11,60500
2024-03-04,콜드브루,커피,10,55000
2024-03-04,카푸치노,라떼/기타,8,40000
2024-03-04,녹차라떼,라떼/기타,7,38500
2024-03-04,초코라떼,라떼/기타,5,27500
2024-03-04,에스프레소,커피,3,10500
2024-03-04,디카페인 아메리카노,커피,4,20000
2024-03-05,아메리카노,커피,48,216000
2024-03-05,카페라떼,라떼/기타,31,155000
2024-03-05,바닐라라떼,라떼/기타,16,88000
